GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gsvg,se.alipsa.groovy.svg.validation.rules,DuplicateIdRule._validate_closure1._closure4,0,59,0,0,0,2,0,3,0,3
gsvg,se.alipsa.groovy.svg.io,SvgReader._startElement_closure1._closure3,109,166,10,12,2,12,10,4,0,3
gsvg,se.alipsa.groovy.svg.io,SvgReader._startElement_closure1._closure2,3,53,0,2,0,4,0,4,0,3
gsvg,se.alipsa.groovy.svg.io,SvgReader._startElement_closure1,399,1529,10,170,0,93,10,83,0,3
gsvg,se.alipsa.groovy.svg.io,SvgWriter,0,50,0,0,0,14,0,2,0,2
gsvg,se.alipsa.groovy.svg.io,SvgReader,32,361,13,33,3,56,14,27,2,16
gsvg,se.alipsa.groovy.svg.presets,Shapes,48,879,18,78,0,85,18,36,0,6
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._hasWarnings_closure5,0,14,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._getErrors_closure1,0,14,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationIssue,6,105,4,4,0,18,4,5,0,5
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._hasErrors_closure4,0,14,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._getInfo_closure3,0,14,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationEngine,0,182,0,8,0,30,0,14,0,10
gsvg,se.alipsa.groovy.svg.validation,ValidationLevel,0,59,0,0,0,0,0,1,0,1
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._getWarnings_closure2,0,14,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationReport,40,206,20,16,2,34,15,18,0,15
gsvg,se.alipsa.groovy.svg.validation,ValidationEngine._validateRecursive_closure2,2,26,1,1,1,2,1,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationEngine._validateRecursive_closure1,4,88,0,0,0,5,0,3,0,3
gsvg,se.alipsa.groovy.svg.validation,ValidationReport._toString_closure6,0,24,0,0,0,1,0,3,0,3
